id,latitude,kelp
5020778,-29.930396,0
5950113,-29.923441,0
5950201,-29.930049,0
6544978,-27.936981,0
6545397,-27.936829,0
6545401,-27.936829,0
8217900,-28.19668749,0
8245829,-27.163717,0
8277908,-27.163526,0
8308241,-27.163717,0
8308337,-27.16387,0
8337334,-29.923181,0
8946977,-29.9238,0
9766208,-27.9368725,0
9766408,-27.93691042,0
9817061,-27.93688198,0
9817067,-27.93688198,0
10179512,-26.46721688,0
12459643,-28.19550591,0
13765057,-27.94039256,0
14506948,-29.925784,0
15003603,-26.48010181,0
16866103,-26.97933914,0
18967799,-27.43732333,0
19499386,-27.93688587,0
19499398,-27.93688587,0
19520290,-27.93665921,0
19520294,-27.93665921,0
19779831,-26.6174611,0
20029284,-26.6174611,0
21193297,-27.16245231,0
21387168,-28.19503246,0
26739234,-29.93044,0
27287808,-27.93965879,0
27289003,-28.09738132,0
27292178,-27.95648487,0
27294744,-27.95684381,0
27616597,-28.19502705,0
28739046,-28.61025052,0
31015986,-24.88405326,0
35321681,-25.38884315,0
36198463,-26.61745958,0
36243368,-28.61096754,0
36384674,-28.611878,0
37603946,-29.90131992,0
38140001,-26.61745958,0
42924231,-28.36284139,0
44145019,-26.80653944,0
50521614,-27.12459295,0
55457943,-28.61134023,0
55458871,-28.61134023,0
57713212,-26.37685623,0
58373896,-29.9407907,0
59022062,-25.9166667,0
60596254,-25.02842647,0
61438382,-28.19785879,0
61438433,-28.19785879,0
63522430,-27.4166667,0
63998096,-26.6146347,0
65525626,-28.61146887,0
65624656,-28.19601992,0
65624660,-28.19601992,0
65624664,-28.19601992,0
67024778,-27.41348667,0
67025478,-27.41495194,0
67037178,-27.414134,0
68532826,-29.68030556,0
68894286,-27.08110463,0
69297298,-28.61127544,0
69297302,-28.61130841,0
69297323,-28.61136852,0
69468107,-29.93029256,0
70300841,-29.77537205,0
71202442,-28.16258507,0
71203132,-28.16286365,0
72399008,-28.31565,0
73467045,-27.164236,0
74417194,-26.54455528,0
74425363,-27.4,0
74425372,-27.4,0
75923890,-27.4166667,0
75934979,-27.4,0
77962390,-26.9833333,0
79905418,-29.77793157,0
82810057,-26.68144454,0
85699071,-24.53157801,0
86380130,-26.63914762,0
86509592,-26.63914762,0
89751344,-28.611349,0
91944549,-26.6146347,0
92272999,-26.61507181,0
92275204,-26.62942909,0
92349082,-27.39462378,0
97197063,-28.61148179,0
97520389,-27.16277063,0
97624238,-27.30936167,0
99340923,-27.16445075,0
101396135,-27.09682324,0
101396340,-27.16451226,0
101455529,-27.16454152,0
102911711,-25.9586297,0
103210784,-26.61738285,0
103301110,-28.16266,0
105207074,-27.16447777,0
105378348,-28.6113488,0
105693020,-27.96174552,0
105824272,-27.16439503,0
106227875,-27.16304174,0
106229274,-27.16292682,0
106234606,-27.16233903,0
106236000,-27.16225871,0
106370149,-27.16215421,0
106372648,-27.16503071,0
107175568,-27.16495594,0
109313654,-28.11669596,0
109631829,-29.92241514,0
109642363,-29.92241514,0
109720135,-29.92241514,0
111753087,-26.80674529,0
111882203,-25.38881976,0
112230364,-27.42643693,0
112798599,-26.7851371,0
114124267,-27.16323338,0
115987070,-27.16187988,0
115987079,-27.1637771,0
122138564,-27.42643693,0
122207013,-27.46086916,0
122808685,-27.50358333,0
123447047,-26.97842668,0
123654958,-27.49466333,0
124352629,-27.38994185,0
124449838,-27.38998543,0
124522615,-27.38998176,0
124528303,-27.38968628,0
126314283,-27.20333283,0
126612550,-27.96155,0
126612559,-27.96155,0
129536101,-27.16323532,0
129536991,-27.16310646,0
130345856,-27.16402232,0
130464003,-27.16384095,0
130914308,-27.16405095,0
134097838,-29.91244485,0
135470073,-27.16302086,0
135743729,-27.08825283,0
135746565,-27.08825283,0
136548446,-27.4,0
136550825,-27.4166667,0
136650992,-25.05336042,0
136657404,-27.16250314,0
137087782,-27.48862181,0
137265960,-27.39472357,0
137411253,-25.03647972,0
137605958,-24.92795147,0
137827265,-25.27631111,0
137843084,-27.16325,0
137844995,-27.16325,0
139510087,-27.16325,0
139516568,-27.16325,0
140484470,-28.1947489,0
140497517,-28.1947489,0
140498312,-27.94594465,0
140638632,-28.19480327,0
140639823,-28.19514368,0
140696206,-27.93771412,0
140698654,-27.94654222,0
140699369,-27.94805865,0
140699729,-28.19498422,0
141451079,-26.97768833,0
141451822,-26.97768833,0
141525691,-26.97768833,0
141591295,-26.97768833,0
141665317,-27.49314005,0
142126994,-25.25463833,0
143170447,-27.16473883,0
143171625,-27.16473883,0
143172729,-27.16473883,0
144142555,-27.16473883,0
144462993,-25.2764027,0
144463157,-26.61431945,0
144528142,-27.91113383,0
144592029,-25.28202846,0
144628331,-27.961667,0
146513692,-28.80057818,0
146594477,-29.92755223,0
147743545,-28.08935865,0
147875015,-27.42620838,0
148374893,-27.16473883,0
148511594,-28.84248334,0
148960035,-29.94029667,0
149106811,-27.42303983,0
149676361,-27.42330082,0
149703586,-27.93682866,0
150468395,-27.42330082,0
150485025,-24.78330221,0
150805701,-27.93565918,0
151596274,-27.41312222,0
151782544,-24.80790833,0
151831603,-24.80790833,0
152222449,-25.92042201,0
152593735,-26.6740736,0
152593749,-27.08830019,0
152602350,-27.41312222,0
152689713,-27.42330082,0
152916991,-27.23618059,0
153005893,-27.42330082,0
153019398,-27.16473883,0
153106292,-25.91667009,0
153147114,-27.42401763,0
153430289,-28.61190528,0
153559717,-24.92468423,0
153655254,-27.93641858,0
153655268,-27.93641858,0
153656530,-28.61154468,0
153777510,-25.26101491,0
153925422,-27.16473883,0
154187724,-28.19417778,0
154322121,-27.416,0
154541429,-27.9364882,0
154682076,-26.61219722,0
155869116,-27.16473883,0
155964882,-27.16328453,0
156555185,-27.16286585,0
156849864,-27.16369391,0
157985893,-27.16473883,0
158603575,-24.92468423,0
158608794,-24.92468423,0
158618278,-24.92468423,0
159138269,-27.16473883,0
160029979,-27.5037,0
162787338,-27.12496006,0
162792785,-27.12496006,0
162992568,-24.92468423,0
163918656,-27.16473883,0
164313924,-25.26375679,0
164520880,-26.61425559,0
164524562,-26.61425559,0
164527976,-26.61425559,0
165863285,-29.93094204,0
165863294,-29.93094204,0
165863350,-29.93094204,0
166727113,-27.16461117,0
166750715,-26.58131567,0
168458832,-26.616738,0
168629820,-26.616738,0
168629959,-26.616738,0
168757966,-26.616738,0
